l_host_is_superhost,n_host_listings_count,n_host_verifications,l_host_has_profile_pic,l_host_identity_verified,f_property_type,n_accommodates,n_bedrooms,n_beds,n_min_nights,l_has_availability,n_sales_30,n_sales_60,n_sales_90,n_sales_365,n_number_of_reviews,n_review_scores_rating,l_instant_bookable,n_reviews_per_month,f_neighbourhood_cleansed,n_bathrooms,usd_price,flag_reviews_per_month,flag_review_scores_rating,n_days_since_1st,n_days_since_last,d_Cleaning_before_checkout,d_Extra_pillows_and_blankets,d_First_aid_kit,d_High_chair,d_Iron,d_Patio_or_balcony,d_Private_entrance,d_Room_darkening_shades,d_Single_level_home,d_Waterfront,d_Window_guards,d_wifi,d_HDTV,d_Dedicated__Workspace,d_Paid__Parking,d_Free__Parking,d_Refrigerator,d_Fitness,d_stove,d_shampoo,d_hot__water,d_Washer,d_air__condition,d_Smart__Lock,d_Dryer,d_Kitchen,d_Oven,d_Children,d_Microwave,d_garden,d_breakfast,d_Bed_linens,d_Bread_maker,d_Building_staff,d_Carbon_monoxide_alarm,d_Coffee_maker,d_Cooking_basics,d_Dishes_and_silverware,d_Elevator,d_Essentials,d_Fire_extinguisher,d_Hangers,d_Heating,d_Host_greets_you,d_Indoor_fireplace,d_Keypad,d_Long_term_stays_allowed,d_Luggage_dropoff_allowed,usd_price_ln,n_days_since_last_ln,n_days_since_1st_ln,n_accommodates_ln,n_accommodates_ln2,n_accommodates_2,f_has_1_review_monthly,f_review_scores_rating,f_number_of_reviews,f_sales_365,f_sales_90,f_sales_60,f_sales_30,f_min_nights,f_beds,f_bedrooms,f_bathrooms,f_host_listing,flag_n_days_since,f_host_accepts_all
0,5,7,1,1,apartment,3,1,1,3,1,0,0,0,184,61,83,1,0.56,Bang Rak,1,29.700000000000003,0,0,3253,285,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,3.391147045808654,5.652489180268651,8.087332926473351,1.0986122886681098,1.206948960812582,27,1,1,3,2,0,0,0,3,3,1,1,2,0,1
0,1,3,1,0,condominium,2,1,1,2,1,1,1,1,1,0,93.72979250541964,0,0,Yan na wa,1,49.863,1,1,3760,3603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3.9092792447570828,8.189522110748094,8.23217423638394,0.6931471805599453,0.4804530139182014,8,0,2,1,0,1,1,1,2,3,1,1,1,1,0
1,5,8,1,1,condominium,2,1,1,3,1,0,0,0,0,206,94,1,1.89,Vadhana,1,54.714000000000006,0,0,3277,291,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,4.0021196181795835,5.673323267171493,8.094683648698815,0.6931471805599453,0.4804530139182014,8,1,2,3,0,0,0,0,3,3,1,1,2,0,1
0,5,7,1,1,condominium,4,1,1,7,1,30,60,67,67,65,88,1,0.6,Bang Rak,1,37.95,0,0,3244,152,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,3.636269503841639,5.0238805208462765,8.084562415235304,1.3862943611198906,1.9218120556728056,64,1,1,3,0,3,1,2,3,3,1,1,2,0,1
0,2,5,1,1,apartment,2,2,1,90,1,0,0,0,0,0,93.72979250541964,0,0,Vadhana,2,49.797000000000004,1,1,3760,3603,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.9079547412521922,8.189522110748094,8.23217423638394,0.6931471805599453,0.4804530139182014,8,0,2,1,0,0,0,0,3,3,2,2,2,1,0
0,2,3,1,0,Other,5,3,1,30,1,7,7,7,7,0,93.72979250541964,1,0,Phra Khanong,3,29.898,1,1,3760,3603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3977915885273227,8.189522110748094,8.23217423638394,1.6094379124341003,2.5902903939802346,125,0,2,1,0,1,1,1,3,3,3,3,2,1,1
0,3,2,1,0,Other,4,1,1,1,1,0,0,0,0,0,93.72979250541964,0,0,Nong Chok,2,149.556,1,1,3760,3603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00767090463224,8.189522110748094,8.23217423638394,1.3862943611198906,1.9218120556728056,64,0,2,1,0,0,0,0,1,3,1,2,2,1,0
1,1,7,1,1,apartment,4,2,2,30,1,11,26,31,31,194,97,0,1.73,Din Daeng,1,34.881,0,0,3372,301,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,3.5519422683545807,5.707110264748875,8.123261319121745,1.3862943611198906,1.9218120556728056,64,1,2,3,0,2,1,1,3,3,2,1,1,0,1
1,3,9,1,1,condominium,2,1,2,3,1,30,46,46,46,21,94,0,0.99,Bang Na,1.5,19.8,0,0,636,290,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,2.9856819377004897,5.66988092298052,6.455198563340122,0.6931471805599453,0.4804530139182014,8,1,2,2,0,2,1,2,3,3,1,2,2,0,0
0,1,5,1,0,apartment,2,1,1,358,1,30,60,90,365,60,98,0,0.56,Chatu Chak,1,25.938000000000002,0,0,3210,508,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,3.25570907491355,6.230481447578482,8.07402621612406,0.6931471805599453,0.4804530139182014,8,1,2,3,3,3,1,2,3,3,1,1,1,0,0
